generation,lowest_cost,highest_cost

0,808173,983546

1,808173,885876

2,804767,870512

3,804767,860212

4,796031,854068

5,796031,848867

6,796031,845025

7,796031,842308

8,792583,839719

9,792583,837127

10,792583,834580

11,792583,832677

12,792583,830929

13,792583,829583

14,792583,828157

15,792583,826684

16,792583,825420

17,792583,824553

18,792583,823621

19,792583,822870

20,792583,822008

21,792583,821146

22,787315,820481

23,787315,819914

24,787315,819485

25,787315,818967

26,787315,818243

27,787315,817538

28,787315,816746

29,787315,816078

30,787315,815696

31,787315,815072

32,785044,814663

33,785044,814036

34,785044,813635

35,785044,813063

36,782256,812815

37,782256,812243

38,782256,811809

39,782256,811439

40,782256,811124

41,782256,810463

42,782256,810262

43,782256,809789

44,782256,809210

45,782256,808716

46,782256,808359

47,782256,808049

48,782256,807679

49,782256,807387

50,782256,807042

51,782256,806657

52,782256,806303

53,782256,806111

54,782256,805761

55,782256,805438

56,782256,805097

57,782256,804836

58,782256,804733

59,782256,804413

60,782256,804217

61,782256,804032

62,782256,803664

63,782256,803496

64,782256,803232

65,782256,802952

66,782256,802670

67,782256,802362

68,782256,802228

69,782256,801929

70,782256,801633

71,782256,801379

72,782256,801200

73,782256,801126

74,782256,800974

75,782256,800736

76,782256,800472

77,782256,800386

78,782256,800127

79,782256,799815

80,782256,799721

81,782256,799545

82,782256,799421

83,782256,799234

84,782256,799125

85,782256,798905

86,782256,798716

87,781910,798521

88,781910,798485

89,781910,798337

90,781910,798242

91,781910,798124

92,781910,798080

93,781910,797973

94,781910,797820

95,781910,797676

96,781910,797570

97,781910,797516

98,781910,797286

99,781910,797240

100,781910,797049

101,781910,796930

102,781910,796736

103,781910,796617

104,781910,796583

105,781910,796483

106,781910,796362

107,781910,796202

108,781910,796151

109,781910,796103

110,781910,796017

111,781910,795956

112,781910,795908

113,781910,795861

114,781910,795702

115,778922,795532

116,778922,795512

117,778922,795417

118,778922,795312

119,778922,795257

120,778922,795211

121,778922,795153

122,778922,794969

123,778922,794854

124,778922,794792

125,778922,794728

126,778922,794670

127,778922,794623

128,778347,794466

129,778347,794337

130,778347,794246

131,778347,794190

132,778347,794028

133,778347,793958

134,770276,793787

135,770276,793719

136,770276,793577

137,770276,793508

138,770276,793317

139,770276,793202

140,770276,793160

141,770276,793073

142,770276,793003

143,770276,792887

144,770276,792813

145,770276,792666

146,770276,792463

147,770276,792398

148,770276,792302

149,770276,792161

150,770276,792090

151,770276,792037

152,770276,791950

153,770276,791815

154,770276,791735

155,770276,791641

156,770276,791561

157,770276,791499

158,770276,791357

159,770276,791208

160,770276,791054

161,770276,790814

162,770276,790743

163,770276,790671

164,770276,790596

165,770276,790436

166,770276,790325

167,770276,790156

168,770276,790088

169,770276,789999

170,770276,789847

171,770276,789750

172,770014,789688

173,770014,789438

174,770014,789333

175,770014,789063

176,770014,788942

177,770014,788891

178,770014,788808

179,770014,788658

180,770014,788582

181,770014,788426

182,770014,788317

183,770014,788176

184,770014,788017

185,770014,787786

186,770014,787522

187,770014,787414

188,770014,787241

189,770014,787117

190,770014,786950

191,768871,786820

192,768871,786779

193,768871,786752

194,768871,786486

195,768871,786194

196,768871,786171

197,768871,785989

198,768871,785790

199,768871,785658

200,768871,785476

201,768871,785352

202,768871,785256

203,768871,785101

204,768871,785005

205,768871,784914

206,768871,784830

207,768871,784575

208,768871,784382

209,768871,784329

210,768871,784129

211,768871,784020

212,768871,783917

213,768871,783811

214,768871,783681

215,768871,783647

216,768871,783541

217,768871,783461

218,765207,783314

219,765207,783238

220,765207,783108

221,765207,783029

222,765207,782977

223,765207,782957

224,765207,782800

225,765207,782695

226,765207,782624

227,765207,782426

228,765207,782311

229,765207,782269

230,765207,782105

231,765207,782000

232,765207,781961

233,765207,781916

234,765207,781816

235,765207,781699

236,765207,781674

237,765207,781589

238,765207,781511

239,765207,781429

240,765207,781295

241,765207,781143

242,765207,781142

243,765207,781012

244,765207,780910

245,765207,780835

246,765207,780754

247,763973,780638

248,763973,780594

249,763973,780435

250,763973,780379

251,763973,780262

252,763973,780139

253,763973,780015

254,763973,779921

255,763973,779858

256,763973,779795

257,763973,779633

258,763973,779533

259,763973,779432

260,763973,779326

261,763973,779222

262,763973,779052

263,763973,778898

264,763973,778807

265,763899,778695

266,763899,778655

267,763899,778590

268,763899,778451

269,763899,778396

270,763899,778266

271,763899,778131

272,763899,778073

273,763899,777921

274,763899,777880

275,763899,777807

276,763899,777684

277,762430,777575

278,762430,777390

279,762430,777320

280,762430,777176

281,759753,776999

282,759753,776848

283,759753,776782

284,759753,776724

285,759753,776687

286,759753,776605

287,759753,776426

288,759753,776322

289,759753,776246

290,759753,776141

291,759753,776090

292,759753,776025

