"Generation","lowest_cost","highest_cost"
0,1645415,1963710

1,1644292,1738703

2,1644292,1713951

3,1611116,1700236

4,1611116,1689727

5,1608325,1678439

6,1606238,1667130

7,1606238,1660779

8,1606238,1653485

9,1606238,1647191

10,1602685,1643963

11,1602685,1639625

12,1602685,1636500

13,1602685,1634374

14,1600252,1633101

15,1600252,1631609

16,1588694,1629819

17,1568449,1627462

18,1563815,1625095

19,1563815,1622622

20,1563815,1618377

21,1563815,1613632

22,1563815,1607108

23,1558711,1601402

24,1558711,1598883

25,1558711,1596408

26,1558711,1594097

27,1558711,1590279

28,1558711,1587549

29,1552513,1585585

30,1552513,1583681

31,1551895,1582494

32,1551895,1581480

33,1551895,1579997

34,1551895,1578778

35,1551895,1577485

36,1551895,1576244

37,1551895,1575117

38,1551895,1573391

39,1551895,1572213

40,1551895,1571067

41,1551895,1570318

42,1551131,1569453

43,1550166,1568876

44,1550166,1568272

45,1550166,1567902

46,1542581,1567338

47,1542581,1566976

48,1542581,1566429

49,1542581,1565712

50,1536812,1565111

51,1536812,1564460

52,1536812,1563403

53,1536812,1562579

54,1536812,1561962

55,1536812,1561460

56,1531974,1560705

57,1531974,1559955

58,1525790,1558963

59,1525790,1558292

60,1525790,1557537

61,1525790,1556678

62,1525790,1555667

63,1525790,1554852

64,1525790,1553923

65,1525790,1553203

66,1525790,1552308

67,1525790,1551131

68,1525790,1548976

69,1525790,1547690

70,1525790,1546843

71,1523434,1546042

72,1523434,1545141

73,1517629,1544636

74,1517629,1543735

75,1517629,1542884

76,1517629,1542347

77,1517629,1541636

78,1517629,1541051

79,1517629,1540459

80,1516261,1539786

81,1516261,1538896

82,1516261,1537933

83,1516261,1537322

84,1515456,1536795

85,1514964,1536162

86,1514964,1535535

87,1510058,1534605

88,1510058,1534053

89,1510058,1533166

90,1510058,1532562

91,1510058,1531666

92,1503672,1531325

93,1503672,1530632

94,1503672,1529948

95,1496827,1529226

96,1496827,1528715

97,1496827,1528343

98,1496827,1527654

99,1496827,1526991

100,1496827,1526358

101,1496827,1525909

102,1496827,1525135

103,1496827,1524603

104,1496827,1523840

105,1496827,1523091

106,1496827,1522632

107,1496827,1521572

108,1496827,1520992

109,1496827,1520591

110,1496827,1519892

111,1496827,1519382

112,1496827,1518297

113,1496827,1517698

114,1496827,1517192

115,1496827,1516709

116,1495296,1515918

117,1492871,1515536

118,1492871,1514982

119,1492871,1514550

120,1492871,1514143

121,1492871,1513696

122,1492871,1513435

123,1492820,1513136

124,1492820,1512705

125,1492820,1512452

126,1492820,1512187

127,1492820,1511698

128,1492820,1511172

129,1492820,1510653

130,1492820,1510095

131,1492820,1509454

132,1492820,1508659

133,1492820,1508245

134,1492820,1507721

135,1492820,1507279

136,1492820,1506846

137,1492820,1506194

138,1484141,1505897

139,1482590,1505400

140,1482590,1504429

141,1482590,1504043

142,1482590,1503547

143,1482590,1503003

144,1478584,1502492

145,1478584,1502177

146,1478584,1501861

147,1478584,1501228

148,1478584,1500747

149,1478584,1500411

150,1478584,1500059

151,1478584,1499717

152,1478584,1499398

153,1478584,1499127

154,1478584,1498758

155,1478584,1498547

156,1478584,1498349

157,1478584,1498033

158,1478226,1497621

