"ID","Solution Cost","Generation Born", "Generation Died", "Generation Method"
114,1980331,1,1,Crossover and Mutation
1464,1971545,1,1,Crossover and Mutation
1495,1964895,1,1,Crossover and Mutation
112,1962718,1,1,Crossover and Mutation
1145,1961919,1,1,Crossover and Mutation
1263,1948284,1,1,Crossover and Mutation
1262,1940856,1,1,Crossover and Mutation
1254,1940845,1,1,Crossover and Mutation
1459,1940271,1,1,Crossover and Mutation
1293,1939338,1,1,Crossover and Mutation
1385,1936888,1,1,Crossover and Mutation
1118,1936610,1,1,Crossover and Mutation
1488,1933847,1,1,Crossover and Mutation
1406,1933732,1,1,Crossover and Mutation
1215,1929601,1,1,Crossover and Mutation
1357,1927592,1,1,Crossover and Mutation
136,1923663,1,1,Crossover and Mutation
1259,1923155,1,1,Crossover and Mutation
1291,1919423,1,1,Crossover and Mutation
1196,1917731,1,1,Crossover and Mutation
1341,1917152,1,1,Crossover and Mutation
1183,1916992,1,1,Crossover and Mutation
1466,1913757,1,1,Crossover and Mutation
1123,1913248,1,1,Crossover and Mutation
102,1909642,1,1,Crossover and Mutation
117,1906923,1,1,Crossover and Mutation
35,1906692,0,1,Random Generation
79,1905195,0,1,Random Generation
30,1902688,0,1,Random Generation
1205,1901472,1,1,Crossover and Mutation
1485,1901123,1,1,Crossover and Mutation
1421,1898833,1,1,Crossover and Mutation
1487,1898644,1,1,Crossover and Mutation
1256,1897992,1,1,Crossover and Mutation
1309,1896084,1,1,Crossover and Mutation
1478,1894421,1,1,Crossover and Mutation
150,1893294,1,1,Crossover and Mutation
1290,1892319,1,1,Crossover and Mutation
27,1891843,0,1,Random Generation
1105,1888948,1,1,Crossover and Mutation
76,1888710,0,1,Random Generation
188,1886327,1,1,Crossover and Mutation
1422,1884011,1,1,Crossover and Mutation
150,1883815,1,1,Crossover and Mutation
1430,1883068,1,1,Crossover and Mutation
19,1881457,0,1,Random Generation
196,1881271,1,1,Crossover and Mutation
137,1880420,1,1,Crossover and Mutation
1212,1879735,1,1,Crossover and Mutation
144,1879424,1,1,Crossover and Mutation
119,1879272,1,1,Crossover and Mutation
1468,1879058,1,1,Crossover and Mutation
1481,1878049,1,1,Crossover and Mutation
197,1875726,1,1,Crossover and Mutation
1441,1875466,1,1,Crossover and Mutation
1309,1875171,1,1,Crossover and Mutation
1344,1874961,1,1,Crossover and Mutation
8,1874810,0,1,Random Generation
142,1874716,1,1,Crossover and Mutation
1396,1873604,1,1,Crossover and Mutation
1195,1872072,1,1,Crossover and Mutation
160,1871893,1,1,Crossover and Mutation
1423,1871244,1,1,Crossover and Mutation
1110,1871129,1,1,Crossover and Mutation
1488,1870642,1,1,Crossover and Mutation
1289,1870624,1,1,Crossover and Mutation
1248,1869488,1,1,Crossover and Mutation
1234,1869468,1,1,Crossover and Mutation
1438,1868654,1,1,Crossover and Mutation
1352,1867921,1,1,Crossover and Mutation
1384,1867383,1,1,Crossover and Mutation
105,1867355,1,1,Crossover and Mutation
194,1866556,1,1,Crossover and Mutation
1342,1865075,1,1,Crossover and Mutation
1206,1864907,1,1,Crossover and Mutation
1475,1864758,1,1,Crossover and Mutation
1199,1864280,1,1,Crossover and Mutation
1307,1864019,1,1,Crossover and Mutation
1340,1862150,1,1,Crossover and Mutation
91,1861027,0,1,Random Generation
1308,1860139,1,1,Crossover and Mutation
1380,1860132,1,1,Crossover and Mutation
1172,1858787,1,1,Crossover and Mutation
1202,1858579,1,1,Crossover and Mutation
1149,1858098,1,1,Crossover and Mutation
1378,1857706,1,1,Crossover and Mutation
1178,1857070,1,1,Crossover and Mutation
1103,1857009,1,1,Crossover and Mutation
1405,1856293,1,1,Crossover and Mutation
1346,1856221,1,1,Crossover and Mutation
1181,1856167,1,1,Crossover and Mutation
1375,1854531,1,1,Crossover and Mutation
1156,1853611,1,1,Crossover and Mutation
129,1853558,1,1,Crossover and Mutation
1349,1853015,1,1,Crossover and Mutation
75,1852775,0,1,Random Generation
1443,1852054,1,1,Crossover and Mutation
1379,1851737,1,1,Crossover and Mutation
196,1851241,1,1,Crossover and Mutation
1435,1850795,1,1,Crossover and Mutation
1340,1850739,1,1,Crossover and Mutation
14,1850003,0,1,Random Generation
