airport , status , nbEmployees
BASE1   , 1      ,  7
AIR1    , 0      ,  0
BASE2   , 1      ,  20
AIR2    , 0      ,  0
AIR3    , 0      ,  0
AIR4    , 0      ,  0
AIR5    , 0      ,  0
AIR6    , 0      ,  0
AIR7    , 0      ,  0
AIR8    , 0      ,  0
AIR9    , 0      ,  0
AIR10   , 0      ,  0
AIR11   , 0      ,  0
BASE3   , 1      ,  6
AIR12   , 0      ,  0
AIR13   , 0      ,  0
AIR14   , 0      ,  0
AIR15   , 0      ,  0
AIR16   , 0      ,  0
AIR17   , 0      ,  0
AIR18   , 0      ,  0
AIR19   , 0      ,  0
AIR20   , 0      ,  0
AIR21   , 0      ,  0
AIR22   , 0      ,  0
AIR23   , 0      ,  0
