#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_13_0 , BASE1 , 2000-01-13 , 00:57 , AIR19 , 2000-01-13 , 01:51
LEG_13_1 , BASE2 , 2000-01-13 , 22:32 , AIR2 , 2000-01-14 , 00:12
LEG_13_2 , AIR2 , 2000-01-13 , 15:30 , BASE2 , 2000-01-13 , 17:14
LEG_13_3 , BASE2 , 2000-01-13 , 15:22 , AIR3 , 2000-01-13 , 17:40
LEG_13_4 , AIR3 , 2000-01-13 , 18:25 , BASE2 , 2000-01-13 , 21:03
LEG_13_5 , BASE3 , 2000-01-13 , 22:15 , AIR7 , 2000-01-13 , 23:12
LEG_13_6 , BASE3 , 2000-01-13 , 13:35 , AIR2 , 2000-01-13 , 14:46
LEG_13_7 , BASE3 , 2000-01-13 , 14:05 , AIR4 , 2000-01-13 , 14:59
LEG_13_8 , BASE3 , 2000-01-13 , 17:35 , AIR24 , 2000-01-13 , 18:57
LEG_13_9 , AIR24 , 2000-01-13 , 20:00 , BASE3 , 2000-01-13 , 21:21
LEG_13_10 , AIR5 , 2000-01-13 , 12:30 , BASE2 , 2000-01-13 , 14:29
LEG_13_11 , BASE2 , 2000-01-13 , 15:23 , AIR6 , 2000-01-13 , 16:20
LEG_13_12 , BASE2 , 2000-01-13 , 01:54 , AIR5 , 2000-01-13 , 03:59
LEG_13_13 , AIR7 , 2000-01-13 , 15:45 , BASE3 , 2000-01-13 , 16:46
LEG_13_14 , BASE3 , 2000-01-13 , 14:00 , AIR7 , 2000-01-13 , 14:58
LEG_13_15 , AIR7 , 2000-01-13 , 00:10 , BASE3 , 2000-01-13 , 01:11
LEG_13_16 , AIR16 , 2000-01-13 , 00:10 , BASE3 , 2000-01-13 , 01:20
LEG_13_17 , BASE1 , 2000-01-13 , 17:54 , AIR10 , 2000-01-13 , 18:40
LEG_13_18 , AIR6 , 2000-01-13 , 17:20 , BASE2 , 2000-01-13 , 18:29
LEG_13_19 , AIR20 , 2000-01-13 , 16:42 , BASE1 , 2000-01-13 , 18:31
LEG_13_20 , BASE1 , 2000-01-13 , 19:19 , AIR11 , 2000-01-13 , 20:22
LEG_13_21 , BASE2 , 2000-01-13 , 20:17 , AIR10 , 2000-01-13 , 21:38
LEG_13_22 , AIR10 , 2000-01-13 , 22:50 , BASE2 , 2000-01-14 , 00:21
LEG_13_23 , BASE1 , 2000-01-13 , 23:20 , AIR8 , 2000-01-14 , 00:42
LEG_13_24 , BASE1 , 2000-01-13 , 21:27 , AIR10 , 2000-01-13 , 22:13
LEG_13_25 , AIR25 , 2000-01-13 , 11:05 , BASE3 , 2000-01-13 , 12:43
LEG_13_26 , BASE3 , 2000-01-13 , 02:20 , AIR25 , 2000-01-13 , 03:55
LEG_13_27 , BASE1 , 2000-01-13 , 14:18 , AIR20 , 2000-01-13 , 16:02
LEG_13_28 , AIR10 , 2000-01-13 , 23:30 , BASE1 , 2000-01-14 , 00:16
LEG_13_29 , AIR14 , 2000-01-13 , 13:15 , BASE1 , 2000-01-13 , 15:04
LEG_13_30 , BASE1 , 2000-01-13 , 17:58 , AIR14 , 2000-01-13 , 19:36
LEG_13_31 , AIR14 , 2000-01-13 , 20:20 , BASE1 , 2000-01-13 , 22:08
LEG_13_32 , AIR4 , 2000-01-13 , 15:55 , BASE3 , 2000-01-13 , 16:52
LEG_13_33 , BASE3 , 2000-01-13 , 17:45 , AIR15 , 2000-01-13 , 19:06
LEG_13_34 , AIR15 , 2000-01-13 , 19:50 , BASE3 , 2000-01-13 , 21:13
LEG_13_35 , BASE3 , 2000-01-13 , 22:10 , AIR16 , 2000-01-13 , 23:23
LEG_13_36 , AIR10 , 2000-01-13 , 19:35 , BASE1 , 2000-01-13 , 20:23
LEG_13_37 , AIR10 , 2000-01-13 , 14:30 , BASE1 , 2000-01-13 , 15:12
LEG_13_38 , AIR17 , 2000-01-13 , 23:30 , BASE2 , 2000-01-14 , 00:20
LEG_13_39 , AIR18 , 2000-01-13 , 13:41 , BASE2 , 2000-01-13 , 14:42
LEG_13_40 , BASE2 , 2000-01-13 , 12:00 , AIR18 , 2000-01-13 , 13:04
LEG_13_41 , AIR18 , 2000-01-13 , 19:49 , BASE2 , 2000-01-13 , 20:49
LEG_13_42 , BASE2 , 2000-01-13 , 21:53 , AIR17 , 2000-01-13 , 22:38
LEG_13_43 , BASE2 , 2000-01-13 , 18:05 , AIR18 , 2000-01-13 , 19:05
LEG_13_44 , AIR19 , 2000-01-13 , 11:00 , BASE3 , 2000-01-13 , 12:46
LEG_13_45 , BASE1 , 2000-01-13 , 22:57 , AIR12 , 2000-01-13 , 23:51
LEG_13_46 , AIR11 , 2000-01-13 , 21:05 , BASE1 , 2000-01-13 , 22:02
