#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_27_0 , BASE2 , 2000-01-27 , 15:00 , AIR28 , 2000-01-27 , 16:15
LEG_27_1 , AIR28 , 2000-01-27 , 17:00 , BASE2 , 2000-01-27 , 18:27
LEG_27_2 , AIR17 , 2000-01-27 , 21:05 , BASE2 , 2000-01-27 , 21:56
LEG_27_3 , BASE2 , 2000-01-27 , 23:05 , BASE3 , 2000-01-28 , 01:16
LEG_27_4 , BASE1 , 2000-01-27 , 00:57 , AIR19 , 2000-01-27 , 01:51
LEG_27_5 , AIR25 , 2000-01-27 , 13:00 , BASE2 , 2000-01-27 , 14:06
LEG_27_6 , BASE3 , 2000-01-27 , 23:10 , AIR16 , 2000-01-28 , 00:21
LEG_27_7 , BASE2 , 2000-01-27 , 19:11 , AIR9 , 2000-01-27 , 21:06
LEG_27_8 , AIR19 , 2000-01-27 , 12:00 , BASE3 , 2000-01-27 , 13:45
LEG_27_9 , BASE3 , 2000-01-27 , 14:35 , AIR2 , 2000-01-27 , 15:44
LEG_27_10 , BASE3 , 2000-01-27 , 18:35 , AIR24 , 2000-01-27 , 20:02
LEG_27_11 , AIR24 , 2000-01-27 , 20:50 , BASE3 , 2000-01-27 , 22:11
LEG_27_12 , BASE2 , 2000-01-27 , 15:25 , AIR29 , 2000-01-27 , 17:06
LEG_27_13 , BASE2 , 2000-01-27 , 21:17 , AIR10 , 2000-01-27 , 22:42
LEG_27_14 , AIR29 , 2000-01-27 , 18:45 , BASE2 , 2000-01-27 , 20:11
LEG_27_15 , BASE1 , 2000-01-27 , 20:31 , AIR22 , 2000-01-27 , 21:46
LEG_27_16 , AIR7 , 2000-01-27 , 00:10 , BASE3 , 2000-01-27 , 01:11
LEG_27_17 , AIR16 , 2000-01-27 , 00:10 , BASE3 , 2000-01-27 , 01:20
LEG_27_18 , AIR2 , 2000-01-27 , 16:35 , BASE2 , 2000-01-27 , 18:13
LEG_27_19 , BASE3 , 2000-01-27 , 02:20 , AIR25 , 2000-01-27 , 03:55
LEG_27_20 , BASE3 , 2000-01-27 , 15:05 , AIR4 , 2000-01-27 , 15:59
LEG_27_21 , BASE2 , 2000-01-27 , 19:32 , AIR17 , 2000-01-27 , 20:19
LEG_27_22 , AIR10 , 2000-01-27 , 23:50 , BASE2 , 2000-01-28 , 01:23
LEG_27_23 , BASE2 , 2000-01-27 , 13:29 , AIR19 , 2000-01-27 , 15:25
LEG_27_24 , AIR22 , 2000-01-27 , 23:20 , BASE1 , 2000-01-28 , 00:33
LEG_27_25 , AIR10 , 2000-01-27 , 12:30 , BASE2 , 2000-01-27 , 14:05
LEG_27_26 , AIR19 , 2000-01-27 , 16:50 , BASE1 , 2000-01-27 , 17:53
LEG_27_27 , BASE1 , 2000-01-27 , 18:54 , AIR30 , 2000-01-27 , 20:16
LEG_27_28 , AIR30 , 2000-01-27 , 21:15 , BASE1 , 2000-01-27 , 22:45
LEG_27_29 , BASE1 , 2000-01-27 , 15:11 , AIR14 , 2000-01-27 , 16:48
LEG_27_30 , AIR14 , 2000-01-27 , 17:35 , BASE1 , 2000-01-27 , 19:19
LEG_27_31 , AIR9 , 2000-01-27 , 22:00 , BASE1 , 2000-01-27 , 23:09
LEG_27_32 , AIR4 , 2000-01-27 , 16:55 , BASE3 , 2000-01-27 , 17:50
LEG_27_33 , BASE3 , 2000-01-27 , 18:45 , AIR15 , 2000-01-27 , 20:04
LEG_27_34 , AIR15 , 2000-01-27 , 20:50 , BASE3 , 2000-01-27 , 22:16
LEG_27_35 , BASE3 , 2000-01-27 , 23:15 , AIR4 , 2000-01-28 , 00:10
