employee,base,vacationName,startDate,startHour,endDate,endHour
EMP001 , BASE2 , Vacation_001 , 2000-01-13 , 00:00 , 2000-01-17 , 23:59
EMP002 , BASE2 , Vacation_002 , 2000-01-02 , 00:00 , 2000-01-08 , 23:59
EMP003 , BASE2 , Vacation_003 , 2000-01-07 , 00:00 , 2000-01-13 , 23:59
EMP004 , BASE2 , Vacation_004 , 2000-01-19 , 00:00 , 2000-01-31 , 23:59
EMP005 , BASE2 , Vacation_005 , 2000-01-13 , 00:00 , 2000-01-16 , 23:59
EMP006 , BASE2 , Vacation_006 , 2000-01-20 , 00:00 , 2000-01-30 , 23:59
EMP007 , BASE2 , Vacation_007 , 2000-01-06 , 00:00 , 2000-01-16 , 23:59
EMP008 , BASE1 , Vacation_008 , 2000-01-19 , 00:00 , 2000-01-21 , 23:59
EMP009 , BASE3 , Vacation_009 , 2000-01-08 , 00:00 , 2000-01-10 , 23:59
EMP010 , BASE2 , Vacation_010 , 2000-01-16 , 00:00 , 2000-01-27 , 23:59
EMP011 , BASE2 , Vacation_011 , 2000-01-07 , 00:00 , 2000-01-09 , 23:59
EMP012 , BASE3 , Vacation_012 , 2000-01-20 , 00:00 , 2000-01-31 , 23:59
EMP013 , BASE1 , Vacation_013 , 2000-01-05 , 00:00 , 2000-01-18 , 23:59
EMP014 , BASE2 , Vacation_014 , 2000-01-01 , 00:00 , 2000-01-10 , 23:59
