#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_27_0 , AIR9 , 2000-01-27 , 22:30 , AIR26 , 2000-01-27 , 23:42
LEG_27_1 , AIR1 , 2000-01-27 , 14:55 , BASE1 , 2000-01-27 , 18:00
LEG_27_2 , AIR19 , 2000-01-27 , 13:00 , BASE1 , 2000-01-27 , 14:31
LEG_27_3 , BASE1 , 2000-01-27 , 15:31 , AIR1 , 2000-01-27 , 18:57
LEG_27_4 , AIR1 , 2000-01-27 , 20:10 , BASE1 , 2000-01-27 , 23:18
LEG_27_5 , BASE1 , 2000-01-27 , 23:34 , AIR1 , 2000-01-28 , 02:56
LEG_27_6 , BASE1 , 2000-01-27 , 00:02 , AIR19 , 2000-01-27 , 01:28
LEG_27_7 , BASE1 , 2000-01-27 , 17:43 , AIR1 , 2000-01-27 , 20:58
LEG_27_8 , BASE1 , 2000-01-27 , 02:22 , AIR1 , 2000-01-27 , 05:37
LEG_27_9 , BASE1 , 2000-01-27 , 13:06 , AIR1 , 2000-01-27 , 16:27
LEG_27_10 , AIR1 , 2000-01-27 , 17:25 , BASE1 , 2000-01-27 , 20:26
LEG_27_11 , AIR4 , 2000-01-27 , 14:40 , BASE1 , 2000-01-27 , 17:58
LEG_27_12 , AIR4 , 2000-01-27 , 23:00 , BASE1 , 2000-01-28 , 02:12
LEG_27_13 , AIR2 , 2000-01-27 , 13:00 , BASE1 , 2000-01-27 , 16:18
LEG_27_14 , BASE1 , 2000-01-27 , 17:39 , AIR4 , 2000-01-27 , 21:23
LEG_27_15 , AIR4 , 2000-01-27 , 20:10 , BASE1 , 2000-01-27 , 23:26
LEG_27_16 , AIR30 , 2000-01-27 , 19:55 , BASE1 , 2000-01-27 , 23:35
LEG_27_17 , BASE1 , 2000-01-27 , 23:31 , AIR30 , 2000-01-28 , 03:21
LEG_27_18 , AIR10 , 2000-01-27 , 19:29 , BASE1 , 2000-01-27 , 22:08
LEG_27_19 , BASE1 , 2000-01-27 , 19:15 , BASE3 , 2000-01-27 , 21:16
LEG_27_20 , BASE2 , 2000-01-27 , 22:12 , AIR8 , 2000-01-27 , 23:44
LEG_27_21 , AIR4 , 2000-01-27 , 17:00 , BASE2 , 2000-01-27 , 21:05
LEG_27_22 , AIR8 , 2000-01-27 , 11:20 , BASE2 , 2000-01-27 , 12:57
LEG_27_23 , BASE2 , 2000-01-27 , 14:07 , AIR4 , 2000-01-27 , 19:01
LEG_27_24 , BASE2 , 2000-01-27 , 17:18 , AIR4 , 2000-01-27 , 22:09
LEG_27_25 , AIR6 , 2000-01-27 , 14:20 , BASE2 , 2000-01-27 , 16:23
LEG_27_26 , BASE2 , 2000-01-27 , 20:37 , AIR4 , 2000-01-28 , 01:27
LEG_27_27 , AIR2 , 2000-01-27 , 17:05 , BASE2 , 2000-01-27 , 19:17
LEG_27_28 , BASE2 , 2000-01-27 , 22:04 , AIR6 , 2000-01-27 , 23:50
LEG_27_29 , AIR1 , 2000-01-27 , 17:00 , BASE2 , 2000-01-27 , 20:51
LEG_27_30 , BASE2 , 2000-01-27 , 18:36 , AIR9 , 2000-01-27 , 20:13
LEG_27_31 , AIR1 , 2000-01-27 , 14:00 , BASE2 , 2000-01-27 , 17:43
LEG_27_32 , BASE2 , 2000-01-27 , 14:00 , AIR1 , 2000-01-27 , 18:24
LEG_27_33 , AIR6 , 2000-01-27 , 21:15 , BASE2 , 2000-01-27 , 23:14
LEG_27_34 , AIR1 , 2000-01-27 , 21:10 , BASE2 , 2000-01-28 , 00:56
LEG_27_35 , BASE2 , 2000-01-27 , 20:41 , AIR1 , 2000-01-28 , 01:03
LEG_27_36 , BASE2 , 2000-01-27 , 11:39 , AIR6 , 2000-01-27 , 13:18
LEG_27_37 , AIR4 , 2000-01-27 , 06:35 , BASE2 , 2000-01-27 , 10:43
LEG_27_38 , BASE2 , 2000-01-27 , 13:55 , AIR30 , 2000-01-27 , 18:43
LEG_27_39 , BASE3 , 2000-01-27 , 19:05 , BASE2 , 2000-01-27 , 20:58
LEG_27_40 , BASE3 , 2000-01-27 , 14:30 , BASE2 , 2000-01-27 , 16:18
LEG_27_41 , BASE2 , 2000-01-27 , 11:37 , BASE3 , 2000-01-27 , 13:37
LEG_27_42 , BASE2 , 2000-01-27 , 15:36 , BASE3 , 2000-01-27 , 17:35
LEG_27_43 , AIR11 , 2000-01-27 , 14:50 , BASE1 , 2000-01-27 , 18:23
LEG_27_44 , BASE1 , 2000-01-27 , 22:59 , AIR11 , 2000-01-28 , 02:56
LEG_27_45 , BASE1 , 2000-01-27 , 21:33 , AIR2 , 2000-01-28 , 00:19
LEG_27_46 , AIR11 , 2000-01-27 , 16:50 , BASE1 , 2000-01-27 , 20:18
LEG_27_47 , AIR6 , 2000-01-27 , 13:15 , BASE1 , 2000-01-27 , 16:28
LEG_27_48 , BASE1 , 2000-01-27 , 17:21 , AIR11 , 2000-01-27 , 21:19
LEG_27_49 , AIR11 , 2000-01-27 , 18:15 , BASE1 , 2000-01-27 , 21:44
LEG_27_50 , BASE1 , 2000-01-27 , 02:24 , AIR11 , 2000-01-27 , 06:22
LEG_27_51 , AIR11 , 2000-01-27 , 23:50 , BASE1 , 2000-01-28 , 03:23
LEG_27_52 , BASE1 , 2000-01-27 , 13:09 , AIR11 , 2000-01-27 , 17:02
LEG_27_53 , AIR2 , 2000-01-27 , 11:10 , BASE1 , 2000-01-27 , 14:24
LEG_27_54 , BASE1 , 2000-01-27 , 15:19 , AIR11 , 2000-01-27 , 19:21
LEG_27_55 , AIR11 , 2000-01-27 , 22:35 , BASE1 , 2000-01-28 , 02:10
LEG_27_56 , BASE2 , 2000-01-27 , 17:10 , AIR11 , 2000-01-27 , 22:01
LEG_27_57 , BASE2 , 2000-01-27 , 22:07 , AIR12 , 2000-01-27 , 23:11
LEG_27_58 , AIR11 , 2000-01-27 , 16:25 , BASE2 , 2000-01-27 , 20:47
LEG_27_59 , BASE2 , 2000-01-27 , 22:22 , AIR11 , 2000-01-28 , 03:17
LEG_27_60 , BASE2 , 2000-01-27 , 01:09 , AIR8 , 2000-01-27 , 02:39
LEG_27_61 , AIR11 , 2000-01-27 , 20:25 , BASE2 , 2000-01-28 , 00:46
LEG_27_62 , BASE2 , 2000-01-27 , 15:23 , AIR2 , 2000-01-27 , 17:11
LEG_27_63 , AIR11 , 2000-01-27 , 10:05 , BASE2 , 2000-01-27 , 14:23
LEG_27_64 , AIR11 , 2000-01-27 , 06:30 , BASE2 , 2000-01-27 , 10:47
LEG_27_65 , BASE2 , 2000-01-27 , 22:22 , AIR10 , 2000-01-27 , 23:49
LEG_27_66 , AIR5 , 2000-01-27 , 16:10 , BASE2 , 2000-01-27 , 20:42
LEG_27_67 , BASE2 , 2000-01-27 , 14:02 , AIR5 , 2000-01-27 , 19:08
