#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_18_0 , AIR1 , 2000-01-18 , 12:00 , BASE1 , 2000-01-18 , 13:21
LEG_18_1 , BASE1 , 2000-01-18 , 14:13 , AIR2 , 2000-01-18 , 18:00
LEG_18_2 , AIR2 , 2000-01-18 , 22:35 , BASE1 , 2000-01-19 , 02:02
LEG_18_3 , BASE1 , 2000-01-18 , 03:01 , BASE3 , 2000-01-18 , 04:50
LEG_18_4 , BASE1 , 2000-01-18 , 23:38 , AIR3 , 2000-01-19 , 02:21
LEG_18_5 , AIR2 , 2000-01-18 , 19:05 , BASE1 , 2000-01-18 , 22:33
LEG_18_6 , BASE1 , 2000-01-18 , 16:32 , AIR2 , 2000-01-18 , 20:26
LEG_18_7 , AIR3 , 2000-01-18 , 12:15 , BASE1 , 2000-01-18 , 15:20
LEG_18_8 , BASE1 , 2000-01-18 , 01:00 , AIR28 , 2000-01-18 , 02:12
LEG_18_9 , AIR5 , 2000-01-18 , 20:15 , BASE2 , 2000-01-18 , 22:18
LEG_18_10 , BASE2 , 2000-01-18 , 23:09 , AIR4 , 2000-01-19 , 04:19
LEG_18_11 , BASE2 , 2000-01-18 , 21:31 , AIR6 , 2000-01-18 , 22:51
LEG_18_12 , AIR4 , 2000-01-18 , 15:35 , BASE2 , 2000-01-18 , 20:12
LEG_18_13 , BASE1 , 2000-01-18 , 00:12 , AIR1 , 2000-01-18 , 01:47
LEG_18_14 , AIR20 , 2000-01-18 , 20:10 , BASE1 , 2000-01-18 , 22:53
LEG_18_15 , BASE1 , 2000-01-18 , 12:10 , AIR7 , 2000-01-18 , 14:45
LEG_18_16 , AIR7 , 2000-01-18 , 18:15 , BASE1 , 2000-01-18 , 20:43
LEG_18_17 , BASE1 , 2000-01-18 , 22:20 , AIR7 , 2000-01-19 , 00:50
LEG_18_18 , AIR7 , 2000-01-18 , 21:55 , BASE1 , 2000-01-19 , 00:14
LEG_18_19 , BASE1 , 2000-01-18 , 18:41 , AIR7 , 2000-01-18 , 21:05
LEG_18_20 , AIR7 , 2000-01-18 , 11:10 , BASE1 , 2000-01-18 , 13:30
LEG_18_21 , BASE1 , 2000-01-18 , 14:29 , AIR7 , 2000-01-18 , 16:57
