"Number of crews available at each base for each day of the period."

base  , BASE1 , BASE2 , BASE3
Day1  , 46    , 31    , 15   
Day2  , 59    , 36    , 18   
Day3  , 58    , 35    , 16   
Day4  , 57    , 36    , 16   
Day5  , 56    , 32    , 15   
Day6  , 52    , 35    , 18   
Day7  , 58    , 37    , 16   
Day8  , 58    , 36    , 17   
Day9  , 57    , 37    , 15   
Day10 , 57    , 36    , 18   
Day11 , 57    , 39    , 17   
Day12 , 53    , 31    , 18   
Day13 , 51    , 36    , 19   
Day14 , 55    , 37    , 20   
Day15 , 56    , 38    , 19   
Day16 , 55    , 36    , 18   
Day17 , 56    , 37    , 20   
Day18 , 57    , 38    , 18   
Day19 , 53    , 32    , 17   
Day20 , 53    , 36    , 20   
Day21 , 55    , 37    , 18   
Day22 , 54    , 37    , 20   
Day23 , 57    , 36    , 21   
Day24 , 54    , 37    , 19   
Day25 , 53    , 39    , 20   
Day26 , 50    , 34    , 20   
Day27 , 52    , 32    , 22   
Day28 , 58    , 29    , 24   
Day29 , 61    , 30    , 27   
Day30 , 60    , 27    , 25   
Day31 , 51    , 25    , 22   
