"Number of crews available at each base for each day of the period."

base  , BASE1 , BASE2 , BASE3
Day1  , 55    , 35    , 19   
Day2  , 55    , 35    , 19   
Day3  , 55    , 35    , 19   
Day4  , 55    , 35    , 19   
Day5  , 55    , 35    , 19   
Day6  , 55    , 35    , 19   
Day7  , 55    , 35    , 19   
Day8  , 55    , 35    , 19   
Day9  , 55    , 35    , 19   
Day10 , 55    , 35    , 19   
Day11 , 55    , 35    , 19   
Day12 , 55    , 35    , 19   
Day13 , 55    , 35    , 19   
Day14 , 55    , 35    , 19   
Day15 , 55    , 35    , 19   
Day16 , 55    , 35    , 19   
Day17 , 55    , 35    , 19   
Day18 , 55    , 35    , 19   
Day19 , 55    , 35    , 19   
Day20 , 55    , 35    , 19   
Day21 , 55    , 35    , 19   
Day22 , 55    , 35    , 19   
Day23 , 55    , 35    , 19   
Day24 , 55    , 35    , 19   
Day25 , 55    , 35    , 19   
Day26 , 55    , 35    , 19   
Day27 , 55    , 35    , 19   
Day28 , 55    , 35    , 19   
Day29 , 55    , 35    , 19   
Day30 , 55    , 35    , 19   
Day31 , 55    , 35    , 19   
