airport , isBase , nbEmployees
BASE1   , 1      , 158
AIR1    , 0      , 0
AIR2    , 0      , 0
AIR3    , 0      , 0
AIR4    , 0      , 0
AIR5    , 0      , 0
AIR6    , 0      , 0
AIR7    , 0      , 0
BASE2   , 1      , 96
AIR8    , 0      , 0
AIR9    , 0      , 0
AIR10   , 0      , 0
AIR11   , 0      , 0
AIR12   , 0      , 0
AIR13   , 0      , 0
AIR14   , 0      , 0
AIR15   , 0      , 0
AIR16   , 0      , 0
AIR17   , 0      , 0
AIR18   , 0      , 0
AIR19   , 0      , 0
BASE3   , 1      , 51
AIR20   , 0      , 0
AIR21   , 0      , 0
AIR22   , 0      , 0
AIR23   , 0      , 0
AIR24   , 0      , 0
AIR25   , 0      , 0
AIR26   , 0      , 0
AIR27   , 0      , 0
AIR28   , 0      , 0
AIR29   , 0      , 0
AIR30   , 0      , 0
AIR31   , 0      , 0
AIR32   , 0      , 0
AIR33   , 0      , 0
AIR34   , 0      , 0
AIR35   , 0      , 0
AIR36   , 0      , 0
AIR37   , 0      , 0
AIR38   , 0      , 0
AIR39   , 0      , 0
AIR40   , 0      , 0
AIR41   , 0      , 0
AIR42   , 0      , 0
AIR43   , 0      , 0
AIR44   , 0      , 0
AIR45   , 0      , 0
AIR46   , 0      , 0
AIR47   , 0      , 0
AIR48   , 0      , 0
AIR49   , 0      , 0
AIR50   , 0      , 0
AIR51   , 0      , 0
